,match_id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,umpire1,umpire2
241,501265,2011,Delhi,2011-05-21,League,,Feroz Shah Kotla,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,,no result,,,,N,SS Hazare,RJ Tucker
485,829763,2015,Bangalore,2015-04-29,League,,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,,no result,,,,N,JD Cloete,PG Pathak
511,829813,2015,Bangalore,2015-05-17,League,,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,field,,no result,,188.0,20.0,N,HDPK Dharmasena,K Srinivasan
744,1178424,2019,Bengaluru,2019-04-30,League,,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,,no result,,63.0,5.0,N,NJ Llong,UV Gandhe
994,1359519,2023,Lucknow,2023-05-03,League,,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,field,,no result,,,,N,AK Chaudhary,NA Patwardhan
